Timestamp,Step,TotalSteps,Solution1Weight,Solution2Weight
2025-06-24 15:40:52.360987,0,40,99,1
2025-06-24 15:41:07.502245,1,40,98,2
2025-06-24 15:41:22.638731,2,40,95,5
2025-06-24 15:41:37.883773,3,40,92,8
2025-06-24 15:41:53.024085,4,40,90,10
2025-06-24 15:42:08.165066,5,40,88,12
2025-06-24 15:42:23.306653,6,40,85,15
2025-06-24 15:42:38.524438,7,40,82,18
2025-06-24 15:42:53.664392,8,40,80,20
2025-06-24 15:43:08.821362,9,40,78,22
2025-06-24 15:43:23.957784,10,40,75,25
2025-06-24 15:43:39.092333,11,40,72,28
2025-06-24 15:43:54.228923,12,40,70,30
2025-06-24 15:44:09.416022,13,40,68,32
2025-06-24 15:44:24.562202,14,40,65,35
2025-06-24 15:44:39.700550,15,40,62,38
2025-06-24 15:44:54.847688,16,40,60,40
2025-06-24 15:45:09.995302,17,40,58,42
2025-06-24 15:45:25.196359,18,40,55,45
2025-06-24 15:45:40.343980,19,40,52,48
2025-06-24 15:45:55.481448,20,40,50,50
2025-06-24 15:46:10.640319,21,40,48,52
2025-06-24 15:46:25.782419,22,40,45,55
2025-06-24 15:46:40.918993,23,40,42,58
2025-06-24 15:46:56.134819,24,40,40,60
2025-06-24 15:47:11.403648,25,40,38,62
2025-06-24 15:47:26.629440,26,40,35,65
2025-06-24 15:47:41.793178,27,40,32,68
2025-06-24 15:47:56.949686,28,40,30,70
2025-06-24 15:48:12.097018,29,40,28,72
2025-06-24 15:48:27.239578,30,40,25,75
2025-06-24 15:48:42.397528,31,40,22,78
2025-06-24 15:48:57.603407,32,40,20,80
2025-06-24 15:49:12.787991,33,40,18,82
2025-06-24 15:49:27.937602,34,40,15,85
2025-06-24 15:49:43.080400,35,40,12,88
2025-06-24 15:49:58.221566,36,40,10,90
2025-06-24 15:50:13.366487,37,40,8,92
2025-06-24 15:50:28.516909,38,40,5,95
2025-06-24 15:50:43.655610,39,40,2,98
2025-06-24 15:50:58.792884,40,40,1,100
